index,ID,F,stored,readback,direct,used_source,reason
36520,,,,,0.00634765625,direct,missing_value
36543,,,,,0.06860001385211945,direct,missing_value
36559,,,,,0.10276004672050476,direct,missing_value
36703,,,,,0.03831219673156738,direct,missing_value
36854,,,,,0.02252197265625,direct,missing_value
36924,,,,,0.01171875,direct,missing_value
36967,,,,,0.007080078125,direct,missing_value
36970,,,,,0.1151187462528469,direct,missing_value
37036,,,,,0.02223825454711914,direct,missing_value
37068,,,,,0.03125,direct,missing_value
37155,,,,,0.030227184295654297,direct,missing_value
37288,,,,,0.11485393287148327,direct,missing_value
37301,,,,,0.11031223402824253,direct,missing_value
37313,,,,,0.0857181595091746,direct,missing_value
37321,,,,,0.08031832054257393,direct,missing_value
37328,,,,,0.016424179077148438,direct,missing_value
37334,,,,,0.0068359375,direct,missing_value
37423,,,,,0.04757881164550781,direct,missing_value
37425,,,,,0.06561683653052852,direct,missing_value
37434,,,,,0.04984299068533163,direct,missing_value
37485,,,,,0.08944115042686462,direct,missing_value
37567,,,,,0.07700121402740479,direct,missing_value
37683,,,,,0.03625345230102539,direct,missing_value
37717,,,,,0.09341415875778135,direct,missing_value
37819,,,,,0.16204708888540154,direct,missing_value
37851,,,,,0.08980573528861195,direct,missing_value
37868,,,,,0.11510157585144043,direct,missing_value
37976,,,,,0.045562744140625,direct,missing_value
38031,,,,,0.07376000535152107,direct,missing_value
38040,,,,,0.06768340370845341,direct,missing_value
38046,,,,,0.01171875,direct,missing_value
38129,,,,,0.0038394927978515625,direct,missing_value
38393,,,,,0.1714427917565331,direct,missing_value
38531,,,,,0.09341415875778135,direct,missing_value
38593,,,,,0.00701904296875,direct,missing_value
38723,,,,,0.15960165261640213,direct,missing_value
38747,,,,,0.03171470761299133,direct,missing_value
38750,,,,,0.004638671875,direct,missing_value
38772,,,,,0.05738319429311016,direct,missing_value
38820,,,,,0.18072774119355017,direct,missing_value
38825,,,,,0.1616156740255974,direct,missing_value
38830,,,,,0.08203125102858144,direct,missing_value
38902,,,,,0.08467425405979156,direct,missing_value
38940,,,,,0.05801171064376831,direct,missing_value
38994,,,,,0.07615115506500206,direct,missing_value
39076,,,,,0.12809941172599792,direct,missing_value
39173,,,,,0.13064763508737087,direct,missing_value
39490,,,,,0.10084885358810425,direct,missing_value
39500,,,,,0.07964593917131424,direct,missing_value
39603,,,,,0.05827456712722778,direct,missing_value
39614,,,,,0.02606344223022461,direct,missing_value
39658,,,,,0.0973502589040971,direct,missing_value
39716,,,,,0.00927734375,direct,missing_value
39743,,,,,0.12350466230418533,direct,missing_value
39879,,,,,0.08716165361572784,direct,missing_value
39917,,,,,0.1833053873050403,direct,missing_value
39963,,,,,0.00927734375,direct,missing_value
39994,,,,,0.09495646512140295,direct,missing_value
40010,,,,,0.06873923540115356,direct,missing_value
40161,,,,,0.11748245882699848,direct,missing_value
40173,,,,,0.03911978006362915,direct,missing_value
40448,,,,,0.07325481433195336,direct,missing_value
40517,,,,,0.023193359375,direct,missing_value
40581,,,,,0.06764649553224444,direct,missing_value
